Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Børkop ,Bent ,Engstrøm ,Socialdemokratiet ,1986-1989 
Børkop ,Thorvald ,Bang-Jensen ,Venstre ,1990-1997 
Børkop ,Leif ,Skov ,Socialdemokratiet ,1998-2006 
Christiansfeld ,Niels Ebbesen ,Hansen ,Lokalliste ,1970-1974 
Christiansfeld ,Bent ,Skriver ,Lokalliste ,1974-1989 
Christiansfeld ,Holger ,Hansen ,Det Konservative Folkeparti ,1990-1993 
Christiansfeld ,Jørgen F. ,From ,Venstre ,1994-2006 
Dianalund ,Erik ,Christensen ,Det Konservative Folkeparti ,1970-1985 
Dianalund ,Orla ,Janum ,Venstre ,1986-1989 
Dianalund ,Arne ,Kristensen ,Socialdemokratiet ,1990-1993 
Dianalund ,Per ,Hovmand ,Det Konservative Folkeparti ,1994-2006 
Dragsholm ,Aage ,Madsen ,Venstre ,1970-1978 
Dragsholm ,Kjeld ,Madsen ,Venstre ,1978-1985 
Dragsholm ,Gunnar Thornbjerg ,Larsen ,Det Konservative Folkeparti ,1985-1989 
Dragsholm ,Finn ,Madsen ,Socialdemokratiet ,1990-1997 
Dragsholm ,Dede ,Bemberg ,Venstre ,1998-2001 
Dragsholm ,Finn ,Madsen ,Socialdemokratiet ,2002-2006 
Dragør ,Svend August ,Karlsson ,Socialdemokratiet ,1970-1974 
Dragør ,Albert Crilles ,Svendsen ,Det Konservative Folkeparti ,1974-1978 
Dragør ,Jørgen ,Rosschou ,Lokalliste ,1978-1985 
Dragør ,Georg ,Lemke ,Socialdemokratiet ,1986-1989 
Dragør ,Jørgen ,Borgstrøm ,Det Konservative Folkeparti ,1990-1993 
Dragør ,Birgitte ,Rinhart ,Lokalliste ,1994-2001 
Dragør ,Asger ,Larsen ,Det Konservative Folkeparti ,2002-2005 
Dragør ,Allan ,Holst ,Socialdemokratiet ,2006-2013 
Dragør ,Eik Dahl ,Bidstrup ,Venstre ,2014- 
Dronninglund ,Chr. I. ,Hansen ,Venstre ,1970-1978 
Dronninglund ,Jørgen B. ,Holst ,Venstre ,1978-1989 
