Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Nakskov ,Flemming Bonne ,Hansen ,Socialistisk Folkeparti ,1998-2006 
Neksø ,Preben Holm ,Jensen ,Venstre ,1970-1989 
Neksø ,Svend Gunnar ,Kofoed-Dam ,Venstre ,1990-1993 
Neksø ,Annelise ,Molin ,Socialdemokratiet ,1994-2002 
Nibe ,Egon ,Rokkedahl ,Venstre ,1970-1985 
Nibe ,Helge Bundgaard ,Nielsen ,Venstre ,1986-1993 
Nibe ,Elin ,Møller ,Socialdemokratiet ,1994-1997 
Nibe ,Jens Østergaard ,Madsen ,Venstre ,1998-2006 
Nordborg ,Jens Christian ,Jensen ,Socialdemokratiet ,1970-1988 
Nordborg ,Jens Møller ,Madsen ,Socialdemokratiet ,1988-1997 
Nordborg ,Jan Prokopek ,Jensen ,Socialdemokratiet ,1997-2006 
Norddjurs ,Torben ,Jensen ,Lokalliste ,2007-2009 
Norddjurs ,Jan ,Petersen ,Socialdemokratiet ,2010- 
Nordfyns ,Bent ,Dyssemark ,Venstre ,2007-2009 
Nordfyns ,Morten ,Andersen ,Venstre ,2010- 
Nr. Alslev ,Ole ,Kragh ,Venstre ,1970-1981 
Nr. Alslev ,Ole ,Rasmussen ,Venstre ,1982-1989 
Nr. Alslev ,Niels ,Larsen ,Venstre ,1990-2006 
Nr.-Djurs ,Knud ,Albæk ,Lokalliste ,1970-1981 
Nr.-Djurs ,Evald ,Andersen ,Venstre ,1982-1997 
Nr.-Djurs ,Leif ,Sørensen ,Socialdemokratiet ,1998-2002 
Nr.-Djurs ,Jens Peter ,Jellesen ,Socialdemokratiet ,2002-2006 
Nr.Rangstrup ,Ejnar K. ,Friis ,Venstre ,1970-1978 
Nr.Rangstrup ,Chresten ,Jacobsen ,Venstre ,1978-1989 
Nr.Rangstrup ,Birthe ,Thyssen ,Venstre ,1990-2001 
Nr.Rangstrup ,Ole Østvig ,Nissen ,Venstre ,2002-2006 
Nr.-Snede ,Peder ,Christensen ,Lokalliste ,1970-1981 
Nr.-Snede ,Anker ,Præstegaard ,Lokalliste ,1982-1989 
Nr.-Snede ,Martin ,Engholm ,Det Konservative Folkeparti ,1989
Nr.-Snede ,Bent ,Jensen ,Lokalliste ,1990-1993 
Nr.-Snede ,Ejvind ,Andreasen ,Venstre ,1994-2001 
Nr.-Snede ,Uffe ,Henneberg ,Venstre ,2001-2006 
Nyborg ,Børge ,Jensen ,Socialdemokratiet ,1970-1978 
Nyborg ,Frederik ,Nørgaard ,Socialdemokratiet ,1978-1981 
Nyborg ,Aage ,Koch ,Socialdemokratiet ,1981-1989 
Nyborg ,Niels V. ,Andersen ,Socialdemokratiet ,1990-2001 
Nyborg ,Jørn ,Terndrup ,Venstre ,2002-2006 
Nyborg ,Jørn ,Terndrup ,Venstre ,2007-2009 
Nyborg ,Erik Skov ,Christensen ,Socialdemokratiet ,2010-2013 
Nyborg ,Kenneth ,Muhs ,Venstre ,2014- 
Nykøbing-Falster ,Reinholdt ,Jørgensen ,Socialdemokratiet ,1970-1973 
Nykøbing-Falster ,Børge ,Jørgensen ,Socialdemokratiet ,1973-1989 
Nykøbing-Falster ,Poul-Henrik ,Pedersen ,Socialdemokratiet ,1990-2006 
Nykøbing-Rørvig ,Hans ,Jørgensen ,Socialdemokratiet ,1970-1974 
Nykøbing-Rørvig ,Henry ,Jakobsen ,Venstre ,1974-1981 
Nykøbing-Rørvig ,Bent S. ,Jensen ,Socialdemokratiet ,1982-1993 
Nykøbing-Rørvig ,Søren ,Pallesen ,Venstre ,1994-1997 
Nykøbing-Rørvig ,Vagn Ytte ,Larsen ,Socialdemokratiet ,1998-2006 
Nysted ,Johannes ,Bjerre ,Venstre ,1970-1974 
Nysted ,Erling Juul ,Andreasen ,Socialdemokratiet ,1974-1981 
Nysted ,Bent Bille ,Hansen ,Venstre ,1982-1989 
Nysted ,Leo ,Thorsen ,Socialdemokratiet ,1990-2001 
Nysted ,Lennart ,Damsbo-Andersen ,Socialdemokratiet ,2002-2006 
Næstved ,Svend ,Hansen ,Socialdemokratiet ,1970-1988 
Næstved ,Henning ,Jensen ,Socialdemokratiet ,1988-2006 
Næstved ,Henning ,Jensen ,Socialdemokratiet ,2007-2011 
Næstved ,Carsten ,Rasmussen ,Socialdemokratiet ,2011- 
Nørager ,Ernst ,Wadgaard ,Venstre ,1970-1978 
Nørager ,Niels Juel ,Jensen ,Venstre ,1978-1989 
Nørager ,Jens Ove ,Hansen ,Venstre ,1990-1997 
Nørager ,Poul ,Larsen ,Det Konservative Folkeparti ,1998-2006 
Nørhald ,Jens Kr. ,Kristensen ,Venstre ,1970-1985 
Nørhald ,Herluf ,Skjøtt ,Venstre ,1986-2001 
Nørhald ,Anders ,Buhl-Christensen ,Venstre ,2002-2006 
Nørre-Åby ,Frederik ,Larsen ,Venstre ,1970-1987 
Nørre-Åby ,Torben ,Knudsen ,Venstre ,1987-2001 
Nørre-Åby ,Hanne R. ,Christensen ,Venstre ,2002-2006 
Odder ,Søren ,Aagaard ,Det Konservative Folkeparti ,1970-1978 
Odder ,Vagn ,Mikkelsen ,Socialdemokratiet ,1978-1985 
Odder ,Erik ,Toftegaard ,Venstre ,1986-1989 
Odder ,Gerda ,Pedersen ,Socialdemokratiet ,1990-1993 
Odder ,Iver ,Tesdorpf ,Det Konservative Folkeparti ,1994-1997 
Odder ,Elvin J. ,Hansen ,Socialdemokratiet ,1998-2005 
Odder ,Niels-Ulrik ,Bugge ,Venstre ,2006-2009 
Odder ,Elvin J. ,Hansen ,Socialdemokratiet ,2010-2013 
Odder ,Uffe ,Jensen ,Venstre ,2014- 
Odense ,Holger ,Larsen ,Socialdemokratiet ,1970-1973 
Odense ,Verner ,Dalskov ,Socialdemokratiet ,1973-1993 
Odense ,Anker ,Boye ,Socialdemokratiet ,1994-2005 
Odense ,Jan ,Boye ,Det Konservative Folkeparti ,2006-2009 
Odense ,Anker ,Boye ,Socialdemokratiet ,2010-2016 
Odense ,Peter Rahbæk ,Juel ,Socialdemokratiet ,2017- 
Odsherred ,Finn ,Madsen ,Socialdemokratiet ,2007-2009 
Odsherred ,Thomas ,Adelskov ,Socialdemokratiet ,2010- 
Otterup ,Carl Peter ,Hovendal ,Venstre ,1970-1980 
Otterup ,Erik ,Olsen ,Det Konservative Folkeparti ,1980-1981 
Otterup ,Axel ,Rasmussen ,Venstre ,1982-1985 
Otterup ,Jacob ,Mikkelsen ,Socialdemokratiet ,1986-1989 
Otterup ,Axel ,Rasmussen ,Venstre ,1990-1997 
Otterup ,Bent ,Dyssemark ,Venstre ,1998-2006 
Pandrup ,Niels Simoni ,Nielsen ,Lokalliste ,1970-1981 
Pandrup ,Lars Dam ,Jensen ,Venstre ,1982-1993 
Pandrup ,Søren P. ,Mortensen ,Socialdemokratiet ,1994-1997 
Pandrup ,Flemming ,Jansen ,Venstre ,1998-2006 
Præstø ,Vagn ,Ringius ,Socialdemokratiet ,1970-1981 
Præstø ,Poul ,Bor√©n ,Venstre ,1982-1985 
Præstø ,Vagn ,Ringius ,Socialdemokratiet ,1986-1989 
Præstø ,Peter ,Madsen ,Socialdemokratiet ,1990-2001 
Præstø ,Ole Møller ,Madsen ,Venstre ,2002-2006 
Purhus ,Einar ,Olsen ,Venstre ,1970-1985 
Purhus ,Berner ,Nielsen ,Socialdemokratiet ,1986-2006 
Ramsø ,Henry Berg ,Olsen ,Venstre ,1970-1988 
Ramsø ,Inga Skjærris ,Nielsen ,Venstre ,1988-1989 
Ramsø ,Poul Lindor ,Nielsen ,Socialdemokratiet ,1990-2006 
Randers ,Svend ,Thingholm ,Socialdemokratiet ,1970-1974 
Randers ,Kristen ,Gjøtrup ,Socialdemokratiet ,1974-1988 
Randers ,Keld ,H√ºttel ,Socialdemokratiet ,1988-2001 
Randers ,Michael Aastrup ,Jensen ,Venstre ,2002-2006 
Randers ,Henning Jensen ,Nyhuus ,Socialdemokratiet ,2007-2013 
Randers ,Claus O. ,Jensen ,Venstre ,2014-2017 
Randers ,Torben ,Hansen ,Socialdemokratiet ,2018- 
Ravnsborg ,Poul R. ,Jønck ,Venstre ,1970-1985 
Ravnsborg ,Ejnar ,Rod ,Socialdemokratiet ,1986-2000 
Ravnsborg ,Stig ,Vestergaard ,Socialdemokratiet ,2000-2006 
Rebild ,Anny ,Winther ,Venstre ,2007-2013 
Rebild ,Leon ,Sebbelin ,Radikale Venstre ,2014- 
Ribe ,Carl Johan ,Pedersen ,Venstre ,1970-1978 
Ribe ,Jens ,Christensen ,Venstre ,1978-1993 
Ribe ,Jørgen E. ,Hansen ,Det Konservative Folkeparti ,1994-2001 
Ribe ,Preben ,Rudiengaard ,Venstre ,2002-2006 
Ringe ,Carl ,Stokkebro ,Venstre ,1970-1974 
Ringe ,Erik ,Hansen ,Venstre ,1974-1993 
Ringe ,Bo ,Andersen ,Venstre ,1994-2006 
Ringkøbing ,Niels ,Skytte ,Venstre ,1970-1985 
Ringkøbing ,Knud ,Dalgaard-Knudsen ,Venstre ,1986-1987 
Ringkøbing ,Hans M. ,Jensen ,Venstre ,1987-1993 
Ringkøbing ,Vagn ,Kristensen ,Venstre ,1993
Ringkøbing ,Hans ,Østergård ,Venstre ,1994-2006 
Ringkøbing-Skjern ,Torben ,Nørregaard ,Venstre ,2007-2009 
Ringkøbing-Skjern ,Iver ,Enevoldsen ,Venstre ,2010-2017 
Ringkøbing-Skjern ,Hans ,Østergaard ,Venstre ,2018- 
Ringsted ,Poul Thisted ,Knudsen ,Venstre ,1970-1974 
Ringsted ,Gunnar Møller ,Rasmussen ,Venstre ,1974-1985 
Ringsted ,Tove ,Frederiksen ,Socialdemokratiet ,1986-1989 
Ringsted ,Ole ,Mølgaard ,Socialdemokratiet ,1994-1997 
Ringsted ,Rasmus ,Kristensen ,Venstre ,1998-2001 
Ringsted ,Benny ,Christensen ,Socialdemokratiet ,2002-2005 
Ringsted ,Niels Ulrich ,Hermansen ,Venstre ,2006-2013 
Ringsted ,Henrik ,Hvidesten ,Venstre ,2014- 
Rosenholm ,Jens Hougaard ,Jensen ,Venstre ,1970-1971 
Rosenholm ,Niels Nielsen ,Barslund ,Venstre ,1971-1978 
Rosenholm ,Egon ,Ree ,Socialdemokratiet ,1978-1981 
Rosenholm ,Niels L. ,Høgh ,Venstre ,1982-1985 
Rosenholm ,Egon ,Ree ,Socialdemokratiet ,1986-1997 
Rosenholm ,Merete Eske ,Pedersen ,Venstre ,1998-1999 
Rosenholm ,Inger ,Nielsen ,Socialdemokratiet ,1999-2001 
Rosenholm ,Richard ,Volander ,Venstre ,2002-2006 
Roskilde ,Christian Arthur ,Jacobsen ,Det Radikale Venstre ,1970-1974 
Roskilde ,Grete ,Munk ,Det Radikale Venstre ,1974-1976 
Roskilde ,John Oluf ,Iversen ,Det Radikale Venstre ,1976-1978 
Roskilde ,Lisbeth (Elisabeth) ,Olsen ,Socialdemokratiet ,1978-1985 
Roskilde ,Henrik ,Christiansen ,Socialdemokratiet ,1986-2001 
Roskilde ,Jette ,Kristensen ,Socialdemokratiet ,2001
Roskilde ,Bjørn ,Dahl ,Venstre ,2002-2006 
Roskilde ,Poul Lindor ,Nielsen ,Socialdemokratiet ,2007-2012 
Roskilde ,Joy ,Mogensen ,Socialdemokratiet ,2012- 
Rougsø ,Søren G. ,Nielsen ,Lokalliste ,1970-1981 
Rougsø ,Henning ,Poulsen ,Lokalliste ,1982-1993 
Rougsø ,Torben ,Jensen ,Lokalliste ,1994-2006 
Rudbjerg ,Arne W. ,Larsen ,Socialdemokratiet ,1970-1978 
Rudbjerg ,Richard ,Andreasen ,Socialdemokratiet ,1978-1981 
Rudbjerg ,Frede ,Jensen ,Venstre ,1982-1985 
Rudbjerg ,Benny Schwartz ,Larsen ,Socialdemokratiet ,1986-1997 
Rudbjerg ,Tom ,Larsen ,Venstre ,1998-2006 
Rudersdal ,Erik ,Fabrin ,Venstre ,2007-2012 
Rudersdal ,Jens ,Ive ,Venstre ,2012- 
Rudkøbing ,Svend ,Nilsson ,Socialdemokratiet ,1970-1978 
Rudkøbing ,Axel ,Rasmussen ,Venstre ,1978-1985 
Rudkøbing ,Tonny Juul ,Pedersen ,Socialdemokratiet ,1986-2001 
Rudkøbing ,Johan ,Norden ,Socialdemokratiet ,2002-2006 
Ry ,Jørgen ,Nielsen ,Venstre ,1970-1981 
Ry ,Ejnar ,Gadegaard ,Venstre ,1982-1989 
Ry ,Ib ,Madsen ,Socialdemokratiet ,1990-2001 
Ry ,Jonna ,Grønver ,Venstre ,2002-2006 
Ryslinge ,Kristian Thule ,Hansen ,Det Radikale Venstre ,1970-1981 
Ryslinge ,Knud Erik ,Laursen ,Venstre ,1982-1997 
Ryslinge ,Vagn ,Jørgensen ,Venstre ,1998-2001 
Ryslinge ,Gunnar ,Landtved ,Venstre ,2002-2006 
Rødby ,Carl Johannes ,Larsen ,Socialdemokratiet ,1970-1981 
Rødby ,Hans ,Christiansen ,Venstre ,1982-1989 
Rødby ,Gert ,Mortensen ,Socialdemokratiet ,1990-2001 
Rødby ,Hans Ole ,Sørensen ,Venstre ,2002-2006 
Rødding ,Christian ,Olling ,Venstre ,1970-1974 
Rødding ,Gunnar ,Juul ,Venstre ,1974-1989 
Rødding ,Peter ,Holst ,Venstre ,1990-2001 
Rødding ,Tage ,Sørensen ,Venstre ,2002-2006 
Rødekro ,Niels ,Sørensen ,Venstre ,1970-1981 
Rødekro ,Erik ,Larsen ,Venstre ,1982-1993 
Rødekro ,Tove ,Larsen ,Socialdemokratiet ,1994-2006 
Rødovre ,Einar Dahl ,Nielsen ,Socialdemokratiet ,1970-1979 
Rødovre ,Per ,Møller ,Socialdemokratiet ,1979-1993 
Rødovre ,Erik ,Nielsen ,Socialdemokratiet ,1994- 
Rønde ,Erik Holst ,Pedersen ,Venstre ,1970-1981 
Rønde ,Peter L. ,Knudsen ,Lokalliste ,1982-1989 
Rønde ,Vilfred Friborg ,Hansen ,Socialdemokratiet ,1990-1993 
Rønde ,Jørgen ,Kjeldsen ,Venstre ,1994-1997 
Rønde ,Vilfred Friborg ,Hansen ,Socialdemokratiet ,1998-2006 
Rønne ,Aage ,Kjøller ,Socialdemokratiet ,1970-1974 
Rønne ,Johannes ,Schou ,Socialdemokratiet ,1974-1985 
Rønne ,Arne ,Hansen ,Socialdemokratiet ,1986-1997 
Rønne ,Thomas ,Thors ,Socialdemokratiet ,1998-2002 
Rønnede ,Christian ,Nielsen ,Venstre ,1970-1974 
Rønnede ,Bent ,Petersen ,Venstre ,1974-1997 
Rønnede ,Finn ,Hansen ,Socialdemokratiet ,1998-2001 
Rønnede ,Kurt ,Rosner ,Venstre ,2002-2006 
Sakskøbing ,Alfred ,Andersen ,Socialdemokratiet ,1970-1977 
Sakskøbing ,Kaj ,Petersen ,Socialdemokratiet ,1977-2006 
Sallingsund ,Frode Villy ,Søndergård ,Lokalliste ,1970-1981 
Sallingsund ,Folmer ,Andersen ,Lokalliste ,1982-1985 
Sallingsund ,Asbjørn ,Thomsen ,Socialdemokratiet ,1986-1989 
Sallingsund ,Erik Krogh ,Kristensen ,Venstre ,1990-2001 
Sallingsund ,Jens Jørn ,Justesen ,Venstre ,2002-2006 
Samsø ,Knud ,Frandsen ,Venstre ,1970-1981 
Samsø ,Emil ,Davidsen ,Venstre ,1982-1993 
Samsø ,John S. ,Petersen ,Venstre ,1994-2001 
Samsø ,Carsten ,Bruun ,Venstre ,2002-2009 
Samsø ,Jørn C. ,Nissen ,Det Konservative Folkeparti ,2010-2013 
Samsø ,Marcel ,Meijer ,Socialdemokratiet ,2014- 
Sejlflod ,Kåre ,Schmit ,Lokalliste ,1970-1974 
Sejlflod ,Poul F. ,Christensen ,Socialdemokratiet ,1974-1978 
Sejlflod ,Jens ,Toft ,Lokalliste ,1978-1981 
Sejlflod ,Jens Peter ,Beck ,Lokalliste ,1982-1985 
Sejlflod ,Bent ,Bundgaard ,Lokalliste ,1985
Sejlflod ,Kristian ,Schnoor ,Socialdemokratiet ,1986-2006 
Sengeløse ,Ejnar ,Giversen ,Venstre ,1970-1974 
Silkeborg ,Jens Erik ,Jørgensen ,Det Konservative Folkeparti ,2007-2009 
Silkeborg ,Hanne Bæk ,Olsen ,Socialdemokratiet ,2010-2013 
Silkeborg ,Steen ,Vindum ,Venstre ,2014- 
Silkeborg ,Ernst ,Thomsen ,Socialdemokratiet ,1970-1985 
Silkeborg ,Jørn ,W√ºrtz ,Socialdemokratiet ,1986-2001 
Silkeborg ,Jens Erik ,Jørgensen ,Det Konservative Folkeparti ,2002-2006 
Sindal ,Oluf ,Pedersen ,Lokalliste ,1970-1974 
Sindal ,Jørgen ,Jensen ,Venstre ,1974-1996 
Sindal ,Søren ,Risager ,Venstre ,1996-2006 
Skagen ,Poul ,Møller ,Det Konservative Folkeparti ,1970-1972 
Skagen ,Carl ,Winter ,Det Konservative Folkeparti ,1972-1974 
Skagen ,Hemming ,Nibe-Hansen ,Venstre ,1974-1985 
Skagen ,Erik ,Thomsen ,Socialdemokratiet ,1986-1989 
Skagen ,Hemming ,Nibe-Hansen ,Venstre ,1990-1992 
Skagen ,Inger ,Støtt ,Venstre ,1992-1993 
Skagen ,Kurt Kirkedal ,Jensen ,Socialdemokratiet ,1994-2001 
Skagen ,Hans Rex ,Christensen ,Venstre ,2002-2006 
Skanderborg ,Wilhelm ,Dupont ,Socialdemokratiet ,1970-1973 
Skanderborg ,Marinus ,Sørensen ,Socialdemokratiet ,1973-1974 
Skanderborg ,Ejnar ,Jacobsen ,Venstre ,1974-1986 
Skanderborg ,Kjeld ,Nyhuus ,Socialdemokratiet ,1986-1989 
Skanderborg ,Aleksander ,Aagaard ,Venstre ,1990-2006 
Skanderborg ,Jens ,Grønlund ,Venstre ,2007-2009 
Skanderborg ,Jørgen ,Gaarde ,Socialdemokratiet ,2010- 
Skibby ,Poul ,Larsen ,Venstre ,1970-1974 
Skibby ,Jacob ,Pedersen ,Venstre ,1974-1981 
Skibby ,Erik ,Hansen ,Socialdemokratiet ,1982-1985 
Skibby ,Bent Vestergård ,Jensen ,Det Konservative Folkeparti ,1985
Skibby ,Gitte ,Schønemann ,Det Konservative Folkeparti ,1985-1989 
Skibby ,Kim ,Rockhill ,Socialdemokratiet ,1990-2001 
Skibby ,Hans Henning ,Bjørnsen ,Venstre ,2002-2006 
Skive ,Peter ,Kjærgaard ,Socialdemokratiet ,1970-1981 
Skive ,Knud ,Olsen ,Socialdemokratiet ,1982-1989 
Skive ,Jonna ,Stavnsbjerg ,Socialdemokratiet ,1990-1997 
Skive ,Søren ,Andersen ,Det Konservative Folkeparti ,1998-2001 
Skive ,Per B. ,Jeppesen ,Socialdemokratiet ,2002-2006 
Skive ,Flemming ,Eskildsen ,Venstre ,2007-2013 
Skive ,Peder C. ,Kirkegaard ,Venstre ,2014- 
Skjern ,Stie ,Hansen ,Venstre ,1970-1974 
Skjern ,Christian ,Lundsgård ,Lokalliste ,1974-1985 
Skjern ,Egon ,Søgaard ,Det Konservative Folkeparti ,1986-1989 
Skjern ,Viggo ,Nielsen ,Venstre ,1990-2006 
Skovbo ,Wilbert ,Christensen ,Socialdemokratiet ,1970-1981 
Skovbo ,Ole ,Hansen ,Venstre ,1982-2006 
Skælskør ,Svend Aage ,Troelsen ,Venstre ,1970-1974 
Skælskør ,Johannes ,Lyshjelm ,Venstre ,1974-1985 
Skælskør ,Søren ,Clausen ,Socialdemokratiet ,1986-1993 
Skælskør ,Hans Christian ,Nielsen ,Venstre ,1994-2001 
Skælskør ,Hans Ole ,Drost ,Venstre ,2002-2006 
Skærbæk ,Chresten ,Findahl ,Det Konservative Folkeparti ,1970-1974 
Skærbæk ,Johannes Chr. ,Hamann ,Venstre ,1974-1981 
Skærbæk ,Hans Bonde ,Møller ,Venstre ,1982-1990 
Skærbæk ,Peter A. ,Petersen ,Venstre ,1990-2001 
Skærbæk ,Svend Ole ,Gammelgård ,Venstre ,2002-2006 
Skævinge ,Kaj Sommer ,Larsen ,Venstre ,1970-1978 
Skævinge ,Finn Palle ,Hansen ,Det Konservative Folkeparti ,1978-2004 
Skævinge ,Ole Roed ,Jakobsen ,Venstre ,2004-2006 
Skørping ,Ove ,Harbo ,Lokalliste ,1970-1974 
Skørping ,Oskar ,Pedersen ,Det Konservative Folkeparti ,1974-1978 
Skørping ,Holger L. ,Holm ,Venstre ,1978-1981 
Skørping ,Jens Møller ,Christensen ,Socialdemokratiet ,1982-1989 
Skørping ,Inger ,Petersen ,Socialdemokratiet ,1989-1995 
Skørping ,Børge ,Olsen ,Lokalliste ,1995-2006 
Slagelse ,Aage ,Nørgaard ,Socialdemokratiet ,1970-1985 
Slagelse ,Steen ,Bach ,Socialdemokratiet ,1986-1993 
Slagelse ,Jens ,Jørgensen ,Det Konservative Folkeparti ,1994-1997 
Slagelse ,Lis ,Tribler ,Socialdemokratiet ,1998-2006 
Slagelse ,Lis ,Tribler ,Socialdemokratiet ,2007-2013 
Slagelse ,St√®n ,Knuth ,Venstre ,2014-2017 
Slagelse ,John Dyrby ,Paulsen ,Socialdemokratiet ,2018- 
Slangerup ,Poul ,Nielsen ,Venstre ,1970-1981 
Slangerup ,Bent ,Lund ,Venstre ,1982-2006 
Solrød ,Arne ,Haugaard-Hansen ,Venstre ,1970-1991 
Solrød ,Mogens ,Baltzer ,Venstre ,1991-2003 
Solrød ,Niels ,H√∂rup ,Venstre ,2006- 
Sorø ,Ingvar ,Knap ,Socialdemokratiet ,1970-1974 
Sorø ,Ib ,Trojaborg ,Venstre ,1974-1989 
Sorø ,Ivan ,Hansen ,Socialdemokratiet ,1990-2006 
Sorø ,Ivan ,Hansen ,Socialdemokratiet ,2007-2013 
Sorø ,Gert ,Jørgensen ,Det Konservative Folkeparti ,2014- 
Spøttrup ,Svend Aage ,Eriksen ,Det Radikale Venstre ,1970-1978 
Spøttrup ,Aksel ,Pedersen ,Venstre ,1978-1985 
Spøttrup ,Alex ,Lind ,Socialdemokratiet ,1986-1997 
Spøttrup ,Anna-Lise ,Vestergaard ,Venstre ,1998-2001 
Spøttrup ,Peder ,Christensen ,Socialdemokratiet ,2002-2006 
Stenlille ,Børge ,Wadum ,Lokalliste ,1970-1976 
Stenlille ,Kaj ,Hansen ,Lokalliste ,1976-1985 
Stenlille ,Allan ,Thomsen ,Socialdemokratiet ,1986-1993 
Stenlille ,John A. ,Jensen ,Lokalliste ,1994-1997 
Stenlille ,Vagn ,Guldborg ,Venstre ,1998-2006 
Stenløse ,Søren Peter ,Christensen ,Socialdemokratiet ,1970-1974 
Stenløse ,Knud ,Bro ,Det Konservative Folkeparti ,1974-1985 
Stenløse ,Peter Hald ,Appel ,Venstre ,1986-1989 
Stenløse ,Lone ,Lunding ,Socialdemokratiet ,1990-1993 
Stenløse ,Peter Hald ,Appel ,Venstre ,1994-1996 
Stenløse ,Johannes ,Nielsen ,Venstre ,1996-1997 
Stenløse ,Finn ,Mortensen ,Det Konservative Folkeparti ,1998-2001 
Stenløse ,Willy R. ,Eliasen ,Venstre ,2002-2006 
Stevns ,Poul Arne ,Nielsen ,Venstre ,2007-2013 
Stevns ,Mogens H. ,Nielsen ,Venstre ,2014-2017 
Stevns ,Anette ,Mortensen ,Venstre ,2018- 
Stevns ,Frede ,Christoffersen ,Venstre ,1970-1977 
Stevns ,Vinnd ,Ravnshøj ,Venstre ,1977-1978 
Stevns ,Arne ,Ebdrup ,Det Konservative Folkeparti ,1978-1989 
Stevns ,Gina ,Øbakke ,Socialdemokratiet ,1990-2001 
Stevns ,Lars P. ,Asserhøj ,Venstre ,2002-2006 
Store Magleby ,Albert C. ,Svendsen ,Det Konservative Folkeparti ,1970-1974 
Struer ,Søren Erik ,Kristensen ,Venstre ,1970-1985 
Struer ,Niels ,Bergholt ,Venstre ,1986-1997 
Struer ,Leif Erik ,Sørensen ,Socialdemokratiet ,1998-2005 
Struer ,Niels Viggo ,Lynghøj ,Socialdemokratiet ,2005-2006 
Struer ,Martin ,Merrild ,Venstre ,2007-2009 
Struer ,Niels Viggo ,Lynghøj ,Socialdemokratiet ,2010-2013 
Struer ,Mads ,Jakobsen ,Venstre ,2014-2017 
Struer ,Niels Viggo ,Lynghøj ,Socialdemokratiet ,2018- 
Stubbekøbing ,Georg ,Hauschildt ,Socialdemokratiet ,1970-1981 
Stubbekøbing ,John ,Erdmann ,Socialdemokratiet ,1982-1997 
Stubbekøbing ,Merete ,Lise ,Venstre ,1998-2001 
Stubbekøbing ,Ole Bronn√© ,Sørensen ,Socialdemokratiet ,2002-2006 
Støvring ,Peter E. ,Kvist ,Venstre ,1970-1985 
Støvring ,Holger ,Børresen ,Venstre ,1986-1989 
Støvring ,Kjeld ,Jensen ,Socialdemokratiet ,1990-1997 
Støvring ,Anny ,Winther ,Venstre ,1998-2006 
Sundeved ,Christian H. ,Møller ,Lokalliste ,1970-1990 
Sundeved ,Ruth ,Jørgensen ,Lokalliste ,1990-2001 
Sundeved ,John Solkær ,Pedersen ,Lokalliste ,2002-2006 
Sundsøre ,Svend ,Sohn ,Det Radikale Venstre ,1970-1981 
Sundsøre ,Vagn ,Villadsen ,Venstre ,1982-1985 
Sundsøre ,Carsten ,Nørgaard ,Socialdemokratiet ,1986-1989 
Sundsøre ,Flemming ,Eskildsen ,Venstre ,1990-2006 
Suså ,Poul ,Jensen ,Venstre ,1970-1974 
Suså ,Verner ,Larsen ,Venstre ,1974-1989 
Suså ,Poul Erik ,Sørensen ,Socialdemokratiet ,1990-2006 
Svendborg ,Svend Øge ,Andersen ,Socialdemokratiet ,1970-1978 
Svendborg ,Viggo ,Schultz ,Socialdemokratiet ,1978-1984 
Svendborg ,Holger ,Rasmussen ,Socialdemokratiet ,1984-1997 
Svendborg ,Jørgen ,Henningsen ,Socialdemokratiet ,1998-2006 
Svendborg ,Lars Erik ,Hornemann ,Venstre ,2007-2009 
Svendborg ,Curt ,Sørensen ,Socialdemokratiet ,2010-2013 
Svendborg ,Lars Erik ,Hornemann ,Venstre ,2014-2017 
Svendborg ,Bo ,Hansen ,Socialdemokratiet ,2018- 
Svinninge ,Herman ,Jensen ,Det Radikale Venstre ,1970-1974 
Svinninge ,Peter Møller ,Christensen ,Det Radikale Venstre ,1974-1989 
Svinninge ,Arne ,Munksgaard ,Det Konservative Folkeparti ,1990-1991 
Svinninge ,Erik ,Aagaard ,Det Radikale Venstre ,1991-1993 
Svinninge ,Søren ,Christensen ,Venstre ,1994-2006 
Sydals ,Svend Ove ,Jensen ,Lokalliste ,1970-1981 
Sydals ,Thomas ,Jacobsen ,Lokalliste ,1982-1989 
Sydals ,Jens Peter ,Kock ,Lokalliste ,1990-2006 
Syddjurs ,Vilfred Friborg ,Hansen ,Socialdemokratiet ,2007-2009 
Syddjurs ,Kirstine ,Bille ,Socialistisk Folkeparti ,2010-2013 
Syddjurs ,Claus ,Wistoft ,Venstre ,2014-2017 
Syddjurs ,Ole ,Bollesen ,Socialdemokratiet ,2018- 
Sydfalster ,Otto ,Jensen ,Venstre ,1970-1989 
Sydfalster ,Hans Aage ,Pedersen ,Det Konservative Folkeparti ,1990-2006 
Sydlangeland ,Arne ,Larsen ,Venstre ,1970-1989 
Sydlangeland ,Helge ,Larsen ,Venstre ,1990-1993 
Sydlangeland ,Knud ,Gether ,Lokalliste ,1994-2006 
Sydthy ,Arne ,Hyttel ,Det Konservative Folkeparti ,1970-1981 
Sydthy ,Ove ,Lykke ,Venstre ,1982-1985 
Sydthy ,Arne ,Hyttel ,Det Konservative Folkeparti ,1986-1989 
Sydthy ,Niels Peter ,Kaastrup Hansen ,Venstre ,1990-1993 
Sydthy ,Arne ,Hyttel ,Det Konservative Folkeparti ,1994-1997 
Sydthy ,Niels Peter ,Kaastrup Hansen ,Venstre ,1998-2001 
